,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,id,file
2_2,0.0,"[0.375, 0.08695652173913043, 0.0, 0.0]",0.846481724890614,0.8571428571428571,24,28,2_2,2
2_3,0.0,"[0.3076923076923077, 0.0, 0.0, 0.0]",0.4633693692311752,0.5652173913043478,13,23,2_3,2
2_4,0.0,"[0.55, 0.2631578947368421, 0.1111111111111111, 0.0]",1.0,1.0,20,20,2_4,2
2_5,0.027843808326377513,"[0.04938271604938271, 0.0375, 0.02531645569620253, 0.01282051282051282]",1.0,13.5,81,6,2_5,2
2_6,0.1331715880876082,"[0.47619047619047616, 0.2, 0.10526315789473684, 0.05555555555555555]",0.8668778997501817,0.875,21,24,2_6,2
2_7,0.0,"[0.47058823529411764, 0.1875, 0.0, 0.0]",0.8382234324229999,0.85,17,20,2_7,2
2_8,0.0,"[0.2857142857142857, 0.0, 0.0, 0.0]",0.8668778997501817,0.875,21,24,2_8,2
2_9,0.345720784641941,"[0.5, 0.42857142857142855, 0.3333333333333333, 0.2]",1.0,1.3333333333333333,8,6,2_9,2
2_10,0.0,"[0.2857142857142857, 0.0, 0.0, 0.0]",1.0,1.1666666666666667,7,6,2_10,2
2_11,0.0,"[0.5238095238095238, 0.1, 0.0, 0.0]",0.9534969548334766,0.9545454545454546,21,22,2_11,2
2_12,0.20763951311414872,"[0.55, 0.21052631578947367, 0.16666666666666666, 0.11764705882352941]",0.951229424500714,0.9523809523809523,20,21,2_12,2
2_13,0.5169731539571706,"[0.625, 0.5714285714285714, 0.5, 0.4]",1.0,1.3333333333333333,8,6,2_13,2
2_14,0.0,"[0.21153846153846154, 0.058823529411764705, 0.02, 0.0]",1.0,2.08,52,25,2_14,2
3_0,0.0,"[0.20689655172413793, 0.05263157894736842, 0.0, 0.0]",0.19776226427407143,0.3815789473684211,58,152,3_0,3
3_1,0.10845182904139573,"[0.28, 0.125, 0.08695652173913043, 0.045454545454545456]",1.0,1.1363636363636365,25,22,3_1,3
3_2,0.0,"[0.2, 0.08333333333333333, 0.043478260869565216, 0.0]",1.0,1.0416666666666667,25,24,3_2,3
3_3,0.0,"[0.4444444444444444, 0.23529411764705882, 0.0625, 0.0]",0.7574651283969664,0.782608695652174,18,23,3_3,3
3_4,0.345720784641941,"[0.5, 0.42857142857142855, 0.3333333333333333, 0.2]",1.0,1.3333333333333333,8,6,3_4,3
3_5,0.6147881529512643,"[0.7142857142857143, 0.6666666666666666, 0.6, 0.5]",1.0,1.0,7,7,3_5,3
3_6,0.0,"[0.25, 0.0, 0.0, 0.0]",1.0,1.0,20,20,3_6,3
3_7,0.0,"[0.17857142857142858, 0.037037037037037035, 0.0, 0.0]",0.9649159443723702,0.9655172413793104,28,29,3_7,3
3_8,0.0,"[0.5, 0.19047619047619047, 0.0, 0.0]",1.0,1.0,22,22,3_8,3
3_9,0.7598356856515925,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",1.0,1.0,6,6,3_9,3
3_10,0.0,"[0.2222222222222222, 0.038461538461538464, 0.0, 0.0]",1.0,1.125,27,24,3_10,3
3_11,0.0,"[0.2631578947368421, 0.05555555555555555, 0.0, 0.0]",1.0,1.0555555555555556,19,18,3_11,3
3_12,0.0,"[0.3333333333333333, 0.0, 0.0, 0.0]",0.513417119032592,0.6,12,20,3_12,3
3_13,0.0,"[0.009478672985781991, 0.0, 0.0, 0.0]",1.0,35.166666666666664,211,6,3_13,3
4_0,0.0,"[0.2463768115942029, 0.04411764705882353, 0.0, 0.0]",0.30032244924551166,0.45394736842105265,69,152,4_0,4
4_1,0.0,"[0.5, 0.2, 0.0, 0.0]",1.0,1.0,6,6,4_1,4
4_2,0.0,"[0.37037037037037035, 0.07692307692307693, 0.0, 0.0]",1.0,1.173913043478261,27,23,4_2,4
4_3,0.0,"[0.25806451612903225, 0.1, 0.0, 0.0]",1.0,1.3478260869565217,31,23,4_3,4
4_4,0.7598356856515925,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",1.0,1.0,6,6,4_4,4
4_5,0.0,"[0.6666666666666666, 0.4, 0.0, 0.0]",1.0,1.0,6,6,4_5,4
4_6,0.0,"[0.2857142857142857, 0.15, 0.05263157894736842, 0.0]",0.751477293075286,0.7777777777777778,21,27,4_6,4
4_7,0.0,"[0.4444444444444444, 0.25, 0.0, 0.0]",0.36787944117144233,0.5,9,18,4_7,4
4_8,0.5081327481546147,"[0.6666666666666666, 0.6, 0.5, 0.3333333333333333]",1.0,1.0,6,6,4_8,4
4_9,0.0,"[0.5714285714285714, 0.3333333333333333, 0.2, 0.0]",1.0,1.0,7,7,4_9,4
4_10,0.0,"[0.5714285714285714, 0.3333333333333333, 0.2, 0.0]",1.0,1.0,7,7,4_10,4
4_11,0.0,"[0.5, 0.07692307692307693, 0.0, 0.0]",0.48954165955695317,0.5833333333333334,14,24,4_11,4
4_12,0.0,"[0.32, 0.08333333333333333, 0.0, 0.0]",1.0,1.0416666666666667,25,24,4_12,4
